"","All.proteins.identfied.from.the.prostasome.fraction","X","X.1","X.2","X.3","X.4","V1"
"25","P60709","Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1","0.623763158","0.118843625","38","0.03402","ACTB"
"26","O15145","Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3","0.683","0.074734196","6","0.41076","ARPC3"
"27","P61158","Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3","0.6435","0.077074639","2","0.38175","ACTR3"
"28","P13798","Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=1 SV=4","7.812","2.795709928","4","0.00259","APEH"
"29","P23526","Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4","0.796291667","0.278070017","48","0.81608","AHCY"
"30","P54819","Adenylate kinase 2, mitochondrial OS=Homo sapiens GN=AK2 PE=1 SV=2","1.131","0.281618536","3","0.88096","AK2"
"31","P30520","Adenylosuccinate synthetase isozyme 2 OS=Homo sapiens GN=ADSS PE=1 SV=3","0.6495","0.176069589","2","0.39591","ADSS"
"32","Q01518","Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=4","0.5023","0.043341153","10","0.0194","CAP1"
"33","P05141","ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=6","0.125","0.004242641","2","0.00351","SLC25A5"
"34","P84077","ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2","0.6515","0.304140775","10","0.24178","ARF1"
"35","O00468","Agrin OS=Homo sapiens GN=AGRN PE=1 SV=4","0.634038462","0.207123824","26","0.07709","AGRN"
"36","P14550","Alcohol dehydrogenase [NADP+] OS=Homo sapiens GN=AKR1A1 PE=1 SV=3","0.743666667","0.392598183","3","0.61804","AKR1A1"
"37","P47895","Aldehyde dehydrogenase family 1 member A3 OS=Homo sapiens GN=ALDH1A3 PE=1 SV=2","0.463652174","0.12070912","23","0.01225","ALDH1A3"
"38","P12814","Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2","0.655115789","0.143311657","95","0.02901","ACTN1"
"39","O43707","Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2","0.529173913","0.139584661","23","0.01671","ACTN4"
"40","P61163","Alpha-centractin OS=Homo sapiens GN=ACTR1A PE=1 SV=1","0.71225","0.199742125","4","0.52903","ACTR1A"
"41","P06733","Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2","0.762479798","0.142386573","198","0.6057","ENO1"
"42","P04083","Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2","0.588","0.063268476","21","0.03415","ANXA1"
"43","P50995","Annexin A11 OS=Homo sapiens GN=ANXA11 PE=1 SV=1","0.539142857","0.161530625","7","0.05085","ANXA11"
"44","P07355","Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2","0.705392857","0.301618024","28","0.38042","ANXA2"
"45","P12429","Annexin A3 OS=Homo sapiens GN=ANXA3 PE=1 SV=3","0.226142857","0.112011054","7","0.00471","ANXA3"
"46","P08758","Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2","0.417","0.106906501","7","0.01236","ANXA5"
"47","P17174","Aspartate aminotransferase, cytoplasmic OS=Homo sapiens GN=GOT1 PE=1 SV=3","0.9145","0.004949747","2","0.90609","GOT1"
"48","P00505","Aspartate aminotransferase, mitochondrial OS=Homo sapiens GN=GOT2 PE=1 SV=2","0.654944444","0.1557817","18","0.18059","GOT2"
"49","P53396","ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3","0.551304348","0.064928236","23","0.01934","ACLY"
"50","Q08211","ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4","0.5915","0.048361732","8","0.10663","DHX9"
"51","O00148","ATP-dependent RNA helicase DDX39 OS=Homo sapiens GN=DDX39 PE=1 SV=2","0.789","0.153747474","8","0.7637","DDX39"
"52","P15291","Beta-1,4-galactosyltransferase 1 OS=Homo sapiens GN=B4GALT1 PE=1 SV=5","0.476333333","0.184397668","9","0.01702","B4GALT1"
"53","O60513","Beta-1,4-galactosyltransferase 4 OS=Homo sapiens GN=B4GALT4 PE=1 SV=1","0.418","0.30971277","2","0.05558","B4GALT4"
"54","P61769","Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1","0.598933333","0.210758313","15","0.06352","B2M"
"55","Q9BYX7","Beta-actin-like protein 3 OS=Homo sapiens GN=ACTBL3 PE=1 SV=1","0.506083333","0.104352949","12","0.01922","ACTBL3"
"56","P07686","Beta-hexosaminidase subunit beta OS=Homo sapiens GN=HEXB PE=1 SV=3","1.0047","0.07152785","10","0.99827","HEXB"
"57","Q53H82","Beta-lactamase-like protein 2 OS=Homo sapiens GN=LACTB2 PE=1 SV=2","0.4045","0.180312229","2","0.04935","LACTB2"
"58","P31939","Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3","0.887888889","0.304934601","9","0.93526","ATIC"
"59","Q9GZN4","Brain-specific serine protease 4 OS=Homo sapiens GN=PRSS22 PE=1 SV=1","0.764142857","0.168653914","7","0.68684","PRSS22"
"60","P12830","Cadherin-1 OS=Homo sapiens GN=CDH1 PE=1 SV=3","0.626","0.160853971","6","0.22254","CDH1"
"61","P27797","Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1","0.618857143","0.212851614","7","0.18324","CALR"
"62","O94985","Calsyntenin-1 OS=Homo sapiens GN=CLSTN1 PE=1 SV=1","1.026857143","0.1100747","14","0.9899","CLSTN1"
"63","P17612","cAMP-dependent protein kinase catalytic subunit alpha OS=Homo sapiens GN=PRKACA PE=1 SV=2","0.9685","0.077074639","2","0.96712","PRKACA"
"64","P16152","Carbonyl reductase [NADPH] 1 OS=Homo sapiens GN=CBR1 PE=1 SV=3","0.638","0.125865007","2","0.36936","CBR1"
"65","Q9UI42","Carboxypeptidase A4 OS=Homo sapiens GN=CPA4 PE=1 SV=2","0.449125","0.101706072","8","0.01437","CPA4"
"66","P35222","Catenin beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1","0.68875","0.147849103","8","0.40935","CTNNB1"
"67","P07339","Cathepsin D OS=Homo sapiens GN=CTSD PE=1 SV=1","0.986538462","0.303605677","91","0.98977","CTSD"
"68","P07711","Cathepsin L1 OS=Homo sapiens GN=CTSL1 PE=1 SV=2","0.562666667","0.084358363","3","0.16694","CTSL1"
"69","Q9UBR2","Cathepsin Z OS=Homo sapiens GN=CTSZ PE=1 SV=1","0.47408","0.053853134","25","0.01267","CTSZ"
"70","Q9BWS9","Chitinase domain-containing protein 1 OS=Homo sapiens GN=CHID1 PE=1 SV=1","1.42275","0.260416013","8","0.46523","CHID1"
"71","O00299","Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4","0.630727273","0.110362548","33","0.04911","CLIC1"
"72","O75390","Citrate synthase, mitochondrial OS=Homo sapiens GN=CS PE=1 SV=2","1.143058824","1.162684097","17","0.93663","CS"
"73","Q00610","Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5","0.665185185","0.146528558","27","0.16781","CLTC"
"74","P10909","Clusterin OS=Homo sapiens GN=CLU PE=1 SV=1","2.186333333","0.366473282","6","0.01731","CLU"
"75","Q14019","Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=1 SV=3","0.9471875","0.077068125","16","0.97822","COTL1"
"76","P48444","Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1","1.166","0.960251009","2","0.83246","ARCN1"
"77","P23528","Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3","0.4542","0.129891237","10","0.01551","CFL1"
"78","P12109","Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1 PE=1 SV=3","0.415903226","0.086416587","62","0.01493","COL6A1"
"79","P12110","Collagen alpha-2(VI) chain OS=Homo sapiens GN=COL6A2 PE=1 SV=4","0.262","0.091164686","3","0.00618","COL6A2"
"80","P01024","Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2","0.339477273","0.198151867","44","0.01016","C3"
"81","Q9C0A0","Contactin-associated protein-like 4 OS=Homo sapiens GN=CNTNAP4 PE=1 SV=3","1.132285714","0.069095729","14","0.94027","CNTNAP4"
"82","Q99829","Copine-1 OS=Homo sapiens GN=CPNE1 PE=1 SV=1","0.5222","0.028595454","5","0.05914","CPNE1"
"83","Q86VP6","Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2","0.496666667","0.328347783","6","0.0307","CAND1"
"84","P04080","Cystatin-B OS=Homo sapiens GN=CSTB PE=1 SV=2","0.53462963","0.168509107","27","0.0169","CSTB"
"85","P01034","Cystatin-C OS=Homo sapiens GN=CST3 PE=1 SV=1","0.823863636","0.417478177","22","0.87766","CST3"
"86","Q15828","Cystatin-M OS=Homo sapiens GN=CST6 PE=1 SV=1","0.630166667","0.294972146","6","0.23465","CST6"
"87","P99999","Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2","0.911242424","0.268146069","33","0.96038","CYCS"
"88","O00154","Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 PE=1 SV=3","0.5458","0.408751391","5","0.08439","ACOT7"
"89","Q96KP4","Cytosolic non-specific dipeptidase OS=Homo sapiens GN=CNDP2 PE=1 SV=2","0.682","0.053084838","4","0.43489","CNDP2"
"90","O43175","D-3-phosphoglycerate dehydrogenase OS=Homo sapiens GN=PHGDH PE=1 SV=4","0.756666667","0.215091453","3","0.65137","PHGDH"
"91","P30046","D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=1 SV=3","0.9945","0.195868578","2","0.99396","DDT"
"92","Q9UGM3","Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2","48.1335","19.21279835","2","0.00047","DMBT1"
"93","O94907","Dickkopf-related protein 1 OS=Homo sapiens GN=DKK1 PE=1 SV=1","0.73475","0.328490378","8","0.58905","DKK1"
"94","P53634","Dipeptidyl peptidase 1 OS=Homo sapiens GN=CTSC PE=1 SV=1","1.442379747","0.120394363","79","0.16007","CTSC"
"95","Q16531","DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1","0.527636364","0.289296136","11","0.02455","DDB1"
"96","P27695","DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens GN=APEX1 PE=1 SV=2","0.6935","0.108187338","2","0.50859","APEX1"
"97","Q9UBS4","DnaJ homolog subfamily B member 11 OS=Homo sapiens GN=DNAJB11 PE=1 SV=1","0.375","0.091923882","2","0.03521","DNAJB11"
"98","Q14118","Dystroglycan OS=Homo sapiens GN=DAG1 PE=1 SV=2","0.558666667","0.052700411","3","0.16211","DAG1"
"99","Q9BUP0","EF-hand domain-containing protein D1 OS=Homo sapiens GN=EFHD1 PE=1 SV=1","0.299","0.015556349","2","0.01513","EFHD1"
"100","Q12805","EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens GN=EFEMP1 PE=1 SV=2","1.0515","0.026162951","2","0.94762","EFEMP1"
"101","Q9H4M9","EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=2","0.652666667","0.10144128","3","0.37439","EHD1"
"102","P68104","Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1","0.6379","0.102905582","110","0.02642","EEF1A1"
"103","P29692","Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5","0.638761905","0.147698986","21","0.1076","EEF1D"
"104","P26641","Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3","0.844545455","0.132110297","33","0.91068","EEF1G"
"105","P13639","Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4","0.81412069","0.127531775","58","0.84996","EEF2"
"106","P30040","Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4","0.4375","0.132282652","6","0.01471","ERP29"
"107","P14625","Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1","0.605578947","0.120543023","76","0.01779","HSP90B1"
"108","P29317","Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2","0.527","0.081767964","11","0.02467","EPHA2"
"109","P58107","Epiplakin OS=Homo sapiens GN=EPPK1 PE=1 SV=1","0.3878","0.172913851","5","0.01105","EPPK1"
"110","P16422","Epithelial cell adhesion molecule OS=Homo sapiens GN=EPCAM PE=1 SV=2","0.613428571","0.049070891","7","0.16832","EPCAM"
"111","P60842","Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1","0.837685714","0.233418807","35","0.90255","EIF4A1"
"112","P63241","Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=1 SV=2","0.63475","0.407464825","4","0.29787","EIF5A"
"113","Q16394","Exostosin-1 OS=Homo sapiens GN=EXT1 PE=1 SV=2","0.273142857","0.086142186","7","0.00721","EXT1"
"114","Q93063","Exostosin-2 OS=Homo sapiens GN=EXT2 PE=1 SV=1","0.181666667","0.160901626","3","0.00452","EXT2"
"115","P55060","Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3","0.68785","0.080148727","20","0.31753","CSE1L"
"116","P15311","Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4","0.52903125","0.2257648","64","0.01451","EZR"
"117","Q16658","Fascin OS=Homo sapiens GN=FSCN1 PE=1 SV=3","0.768647059","0.279928326","17","0.72248","FSCN1"
"118","P49327","Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3","0.4754","0.076615381","25","0.01249","FASN"
"119","Q01469","Fatty acid-binding protein, epidermal OS=Homo sapiens GN=FABP5 PE=1 SV=3","0.73775","0.030037477","4","0.60416","FABP5"
"120","Q6BAA4","Fc receptor-like B OS=Homo sapiens GN=FCRLB PE=1 SV=1","0.395","0.107315734","4","0.01409","FCRLB"
"121","P02751","Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=3","0.567","0.325304985","4","0.14112","FN1"
"122","P21333","Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4","0.606636364","0.303974395","22","0.0465","FLNA"
"123","O75369","Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=1","0.34565","0.18135173","20","0.00713","FLNB"
"124","P19883","Follistatin OS=Homo sapiens GN=FST PE=1 SV=2","0.953333333","0.276120143","3","0.95821","FST"
"125","P04075","Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2","1.870787879","3.540052708","33","0.01332","ALDOA"
"126","P09972","Fructose-bisphosphate aldolase C OS=Homo sapiens GN=ALDOC PE=1 SV=2","0.926166667","0.010245324","6","0.95212","ALDOC"
"127","P07954","Fumarate hydratase, mitochondrial OS=Homo sapiens GN=FH PE=1 SV=3","0.939714286","1.2526389","21","0.97628","FH"
"128","Q08380","Galectin-3-binding protein OS=Homo sapiens GN=LGALS3BP PE=1 SV=1","0.4206","0.121343505","40","0.00993","LGALS3BP"
"129","Q92820","Gamma-glutamyl hydrolase OS=Homo sapiens GN=GGH PE=1 SV=2","0.774967742","0.327694216","31","0.75898","GGH"
"130","P13284","Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=2","0.8285","0.019091883","2","0.7885","IFI30"
"131","P17900","Ganglioside GM2 activator OS=Homo sapiens GN=GM2A PE=1 SV=4","0.8065","0.174655375","2","0.75188","GM2A"
"132","Q9NRY4","Glucocorticoid receptor DNA-binding factor 1 OS=Homo sapiens GN=GRLF1 PE=1 SV=2","0.622333333","0.031942657","3","0.29475","GRLF1"
"133","P06744","Glucose-6-phosphate isomerase OS=Homo sapiens GN=GPI PE=1 SV=4","0.795384615","0.142365059","52","0.81283","GPI"
"134","P78417","Glutathione S-transferase omega-1 OS=Homo sapiens GN=GSTO1 PE=1 SV=2","0.2565","0.340118362","2","0.00978","GSTO1"
"135","P09211","Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2","0.749333333","0.118093797","24","0.64529","GSTP1"
"136","P04406","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3","0.941598131","0.182939373","214","0.96433","GAPDH"
"137","O14556","Glyceraldehyde-3-phosphate dehydrogenase, testis-specific OS=Homo sapiens GN=GAPDHS PE=1 SV=2","1.036428571","0.150975558","7","0.98106","GAPDHS"
"138","P11216","Glycogen phosphorylase, brain form OS=Homo sapiens GN=PYGB PE=1 SV=5","0.72525","0.070030351","4","0.56402","PYGB"
"139","P41250","Glycyl-tRNA synthetase OS=Homo sapiens GN=GARS PE=1 SV=2","1.3335","0.078402806","4","0.63636","GARS"
"140","O75487","Glypican-4 OS=Homo sapiens GN=GPC4 PE=1 SV=4","0.37725","0.014728091","4","0.01281","GPC4"
"141","Q92538","Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens GN=GBF1 PE=1 SV=2","0.813625","0.052353026","8","0.81881","GBF1"
"142","P62826","GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3","0.805","0.093683866","4","0.76592","RAN"
"143","Q9UBI6","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens GN=GNG12 PE=1 SV=3","0.67","0.162682206","5","0.38149","GNG12"
"144","Q03113","Guanine nucleotide-binding protein subunit alpha-12 OS=Homo sapiens GN=GNA12 PE=1 SV=4","0.7055","0.149199531","2","0.53423","GNA12"
"145","P48723","Heat shock 70 kDa protein 13 OS=Homo sapiens GN=HSPA13 PE=1 SV=1","0.921428571","0.094926036","7","0.95468","HSPA13"
"146","P08107","Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5","1.180973684","0.364476706","38","0.91291","HSPA1A"
"147","P34931","Heat shock 70 kDa protein 1-like OS=Homo sapiens GN=HSPA1L PE=1 SV=2","1.00865","0.17383152","20","0.99671","HSPA1L"
"148","P34932","Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4","0.68825","0.075891919","4","0.45579","HSPA4"
"149","P11142","Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1","0.953759124","0.196494369","137","0.96459","HSPA8"
"150","Q92598","Heat shock protein 105 kDa OS=Homo sapiens GN=HSPH1 PE=1 SV=1","0.951133333","0.0882463","15","0.97999","HSPH1"
"151","Q12931","Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens GN=TRAP1 PE=1 SV=3","0.907357143","0.117410265","14","0.95727","TRAP1"
"152","P07900","Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5","0.788666667","0.127686125","72","0.77367","HSP90AA1"
"153","P08238","Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4","0.85537037","0.097572865","54","0.91367","HSP90AB1"
"154","P54652","Heat shock-related 70 kDa protein 2 OS=Homo sapiens GN=HSPA2 PE=1 SV=1","2.181710526","3.233631946","38","0.01336","HSPA2"
"155","Q99729","Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=2","1.298","0.456474169","4","0.68987","HNRNPAB"
"156","Q32P51","Heterogeneous nuclear ribonucleoprotein A1-like 2 OS=Homo sapiens GN=HNRNPA1L2 PE=2 SV=2","0.78","0.167878203","34","0.77642","HNRNPA1L2"
"157","O60812","Heterogeneous nuclear ribonucleoprotein C-like 1 OS=Homo sapiens GN=HNRNPCL1 PE=1 SV=1","0.785222222","0.102427752","9","0.75388","HNRNPCL1"
"158","P61978","Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1","0.5651","0.137066448","10","0.04884","HNRNPK"
"159","O60506","Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=2","0.660388889","0.117456444","18","0.20003","SYNCRIP"
"160","O43390","Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1","0.770142857","0.131809747","7","0.70547","HNRNPR"
"161","P22626","Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2","0.867050847","0.268179651","59","0.92167","HNRNPA2B1"
"162","P07910","Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4","0.7521","0.121584401","10","0.65165","HNRNPC"
"163","P09429","High mobility group protein B1 OS=Homo sapiens GN=HMGB1 PE=1 SV=3","0.963","0.065207362","3","0.96682","HMGB1"
"164","P17096","High mobility group protein HMG-I/HMG-Y OS=Homo sapiens GN=HMGA1 PE=1 SV=3","0.673","0.27011479","2","0.45305","HMGA1"
"165","Q96QV6","Histone H2A type 1-A OS=Homo sapiens GN=HIST1H2AA PE=1 SV=3","0.638823529","0.183236949","17","0.13347","HIST1H2AA"
"166","P04908","Histone H2A type 1-B/E OS=Homo sapiens GN=HIST1H2AB PE=1 SV=2","0.552142857","0.074358206","7","0.06268","HIST1H2AB"
"167","Q96A08","Histone H2B type 1-A OS=Homo sapiens GN=HIST1H2BA PE=1 SV=3","0.5876","0.180016206","30","0.02198","HIST1H2BA"
"168","P33778","Histone H2B type 1-B OS=Homo sapiens GN=HIST1H2BB PE=1 SV=2","0.703166667","0.0853895","6","0.48301","HIST1H2BB"
"169","P62807","Histone H2B type 1-C/E/F/G/I OS=Homo sapiens GN=HIST1H2BC PE=1 SV=4","0.780571429","0.313162289","7","0.73591","HIST1H2BC"
"170","Q16695","Histone H3.1t OS=Homo sapiens GN=HIST3H3 PE=1 SV=3","0.778416667","0.773760529","12","0.74839","HIST3H3"
"171","P62805","Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2","0.668465517","0.251287344","116","0.04006","HIST1H4A"
"172","P30443","HLA class I histocompatibility antigen, A-1 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1","0.4015","0.133643182","2","0.04686","HLA"
"173","P50502","Hsc70-interacting protein OS=Homo sapiens GN=ST13 PE=1 SV=2","0.718","0","2","0.56671","ST13"
"174","Q16543","Hsp90 co-chaperone Cdc37 OS=Homo sapiens GN=CDC37 PE=1 SV=1","0.7402","0.087508285","5","0.61206","CDC37"
"175","P00492","Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens GN=HPRT1 PE=1 SV=2","0.6385","0.289329397","6","0.26001","HPRT1"
"176","Q9Y4L1","Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1","0.5616","0.053668426","5","0.10616","HYOU1"
"177","Q14974","Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2","0.988153846","0.843034978","13","0.99585","KPNB1"
"178","O00410","Importin-5 OS=Homo sapiens GN=IPO5 PE=1 SV=4","0.21","0.183002732","5","0.00539","IPO5"
"179","O95373","Importin-7 OS=Homo sapiens GN=IPO7 PE=1 SV=1","0.9055","0.009110434","4","0.91763","IPO7"
"180","P08476","Inhibin beta A chain OS=Homo sapiens GN=INHBA PE=1 SV=2","0.2396","0.128167617","30","0.00683","INHBA"
"181","Q15181","Inorganic pyrophosphatase OS=Homo sapiens GN=PPA1 PE=1 SV=2","1.002833333","0.325317947","6","0.99857","PPA1"
"182","P18065","Insulin-like growth factor-binding protein 2 OS=Homo sapiens GN=IGFBP2 PE=1 SV=2","3.90475","1.936250221","4","0.00605","IGFBP2"
"183","P17936","Insulin-like growth factor-binding protein 3 OS=Homo sapiens GN=IGFBP3 PE=1 SV=2","0.3655","0.0417193","2","0.03129","IGFBP3"
"184","P24592","Insulin-like growth factor-binding protein 6 OS=Homo sapiens GN=IGFBP6 PE=1 SV=1","0.451","0.263904654","7","0.01412","IGFBP6"
"185","Q12905","Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2","0.516714286","0.239430376","7","0.03431","ILF2"
